start
done
         845400 function calls (831173 primitive calls) in 0.725 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    88348    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
59843/58345    0.005    0.000    0.005    0.000 {built-in method builtins.len}
    44895    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
    26964    0.007    0.000    0.011    0.000 utils.py:53(<genexpr>)
    26392    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
    24510    0.004    0.000    0.004    0.000 {built-in method builtins.round}
    18868    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
    17028    0.003    0.000    0.003    0.000 {built-in method builtins.min}
16397/16389    0.005    0.000    0.006    0.000 {method 'join' of 'str' objects}
    15846    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
    15651    0.004    0.000    0.004    0.000 sre_parse.py:233(__next)
    13850    0.003    0.000    0.007    0.000 sre_parse.py:254(get)
    13572    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    13546    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
12015/12006    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
    11516    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    10767    0.002    0.000    0.003    0.000 mathtext.py:2739(<genexpr>)
     9157    0.003    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
     8064    0.010    0.000    0.010    0.000 {method 'splitlines' of 'str' objects}
     8008    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
     7452    0.001    0.000    0.002    0.000 colorbrewer.py:162(<genexpr>)
     7287    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
     6477    0.001    0.000    0.001    0.000 inspect.py:2529(kind)
     6470    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     6416    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     6284    0.001    0.000    0.001    0.000 inspect.py:2517(name)
     6128    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     6000    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     6000    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     5865    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
     5714    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     5022    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
     4635    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     4635    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     3930    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
     3861    0.001    0.000    0.002    0.000 utils.py:109(palette_name)
     3779    0.001    0.000    0.001    0.000 inspect.py:2799(<genexpr>)
     3459    0.013    0.000    0.013    0.000 {built-in method posix.stat}
     3441    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x858cc0}
     3345    0.002    0.000    0.008    0.000 enum.py:284(__call__)
     3327    0.001    0.000    0.001    0.000 enum.py:526(__new__)
     3293    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
     3247    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
     3214    0.001    0.000    0.002    0.000 palette.py:45(__init__)
     3114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     3059    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
     3034    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
     3025    0.000    0.000    0.000    0.000 inspect.py:2521(default)
     3003    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     2968    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     2949    0.002    0.000    0.006    0.000 {built-in method builtins.any}
     2853    0.004    0.000    0.006    0.000 inspect.py:2467(__init__)
 2804/454    0.003    0.000    0.637    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     2788    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
     2666    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
     2574    0.001    0.000    0.002    0.000 utils.py:114(split_name_length)
     2574    0.005    0.000    0.030    0.000 utils.py:190(get_map)
     2466    0.002    0.000    0.002    0.000 utils.py:28(n_to_indices)
     2466    0.004    0.000    0.014    0.000 utils.py:70(<listcomp>)
     2466    0.002    0.000    0.018    0.000 utils.py:56(evenly_spaced_values)
     2451    0.003    0.000    0.060    0.000 re.py:271(_compile)
     2405    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
     2405    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
     2331    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
     2330    0.000    0.000    0.000    0.000 inspect.py:2835(parameters)
     2146    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
     2144    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     2058    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
     1998    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     1955    0.001    0.000    0.001    0.000 {built-in method from_bytes}
     1955    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
     1857    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
1844/1782    0.025    0.000    0.073    0.000 {built-in method builtins.__build_class__}
     1840    0.001    0.000    0.001    0.000 posixpath.py:41(_get_sep)
     1834    0.001    0.000    0.001    0.000 version.py:207(<genexpr>)
     1805    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     1796    0.002    0.000    0.014    0.000 __init__.py:831(__setitem__)
     1743    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     1646    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
     1645    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
 1622/501    0.003    0.000    0.003    0.000 sre_parse.py:174(getwidth)
     1608    0.001    0.000    0.001    0.000 version.py:65(_compare)
     1592    0.000    0.000    0.001    0.000 artist.py:1225(is_alias)
     1536    0.001    0.000    0.002    0.000 colors.py:116(_is_nth_color)
     1531    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1492    0.001    0.000    0.002    0.000 version.py:114(_parse_version_parts)
     1481    0.001    0.000    0.003    0.000 re.py:170(match)
     1466    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     1453    0.000    0.000    0.000    0.000 inspect.py:2525(annotation)
     1452    0.000    0.000    0.000    0.000 version.py:298(_parse_letter_version)
     1407    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:403(cached)
     1404    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
 1356/224    0.006    0.000    0.014    0.000 sre_compile.py:71(_compile)
     1340    0.004    0.000    0.005    0.000 inspect.py:2750(__init__)
     1325    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1325    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
     1325    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
     1305    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
     1304    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
 1301/965    0.004    0.000    0.025    0.000 inspect.py:2198(_signature_from_callable)
     1280    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
     1260    0.000    0.000    0.000    0.000 colors.py:236(<genexpr>)
     1224    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1218    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
     1212    0.000    0.000    0.000    0.000 version.py:244(<genexpr>)
     1198    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
     1194    0.001    0.000    0.001    0.000 __init__.py:2069(dist_factory)
     1189    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
     1132    0.008    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     1132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
     1131    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
   1111/9    0.001    0.000    0.706    0.078 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1045    0.001    0.000    0.007    0.000 colors.py:150(to_rgba)
      998    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      968    0.000    0.000    0.000    0.000 _structures.py:33(__neg__)
      965    0.006    0.000    0.017    0.000 inspect.py:2117(_signature_from_function)
    911/1    0.016    0.000    0.726    0.726 {built-in method builtins.exec}
      900    0.000    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      900    0.002    0.000    0.006    0.000 copy.py:66(copy)
      900    0.001    0.000    0.002    0.000 copy.py:268(_reconstruct)
      900    0.000    0.000    0.001    0.000 copyreg.py:87(__newobj__)
      864    0.000    0.000    0.001    0.000 scientific.py:37(__init__)
      854    0.000    0.000    0.000    0.000 __init__.py:2094(__bool__)
      851    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
      834    0.004    0.000    0.009    0.000 version.py:198(__init__)
    821/8    0.003    0.000    0.722    0.090 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    821/8    0.003    0.000    0.723    0.090 <frozen importlib._bootstrap>:978(_find_and_load)
      821    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      821    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:147(__enter__)
      821    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
      818    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      818    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
      809    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(find_spec)
      809    0.004    0.000    0.048    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      804    0.000    0.000    0.001    0.000 version.py:47(__lt__)
      804    0.000    0.000    0.000    0.000 version.py:54(<lambda>)
      804    0.000    0.000    0.001    0.000 version.py:53(__eq__)
      804    0.000    0.000    0.000    0.000 version.py:48(<lambda>)
    789/8    0.003    0.000    0.721    0.090 <frozen importlib._bootstrap>:663(_load_unlocked)
      786    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      786    0.002    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      786    0.001    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      786    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
      785    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      785    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
  783/233    0.013    0.000    0.033    0.000 sre_parse.py:469(_parse)
      779    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      779    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
      779    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:318(__exit__)
      779    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
      779    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  779/773    0.001    0.000    0.067    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      755    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      754    0.000    0.000    0.001    0.000 __init__.py:2345(_normalize_cached)
      743    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      729    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      722    0.001    0.000    0.014    0.000 __init__.py:2765(_get_metadata)
      702    0.000    0.000    0.001    0.000 posixpath.py:64(isabs)
